l1_category,revenue,total_qty,profit,profit_margin
Toilet Cleaners & More,34556563.980000004,251354.0,2866860.0300229993,0.08296137404408108
Coffee,32625275.777,196777.0,1817700.9343390006,0.055714500216437535
Repellents,32413175.457000002,165954.0,-387181.98022499983,-0.011945203602116787
Milk Drinks,32172449.288999986,1442205.0,2434694.575528,0.07567638241209199
Cream Biscuits,31856870.941,537380.0,2396442.875697,0.07522530634396872
Energy Drinks,31746516.012,227581.0,1276755.3616619997,0.04021718040428101
Facial Care,30970152.237000007,193803.0,1838044.354662,0.05934889633723177
Tissues & Disposables,30144835.387000002,220977.0,11755933.011408003,0.3899816622146082
Health Drinks,29179097.310000002,84719.0,748817.7651150004,0.02566281462238286
Cookies,27391244.08,435318.0,2581429.8533830005,0.09424288454527914
Cigarettes & Tobacco,26623860.277000003,93195.0,2322685.263807001,0.08724073968392697
Dishwashing Gels & Powder,25725191.993,154743.0,294609.0465959999,0.011452161238530894
Frozen Veg Snacks,25371227.782000005,192769.0,3483481.3431260004,0.13730046385841083
Namkeen Snacks,25237673.827999994,431878.0,4730373.769377998,0.1874330337104949
Chocolate Packs,23399027.848,186750.0,1679208.9947479998,0.07176404958599714
Frozen Non-Veg Snacks,23197356.480999995,106813.0,4337371.453996,0.18697697117120063
Concentrates & Syrups,22765398.772,155909.0,2301496.674343,0.10109626004766917
Dips & Spreads,22220924.136999995,205426.0,1136661.567956,0.051152758586819905
Chicken,21664103.349999998,121597.0,3367246.3799239993,0.15542975979774393
"Poha, Daliya & Other Grains",21432924.760000005,518014.0,4672516.433417003,0.21800647768508294
Handwash,20229908.929,186577.0,1474110.118253,0.07286785736043686
Tomato & Chilli Ketchups,20139399.428000003,211679.0,1208555.9067819996,0.060009530626903035
Glucose & Marie,19630062.740000002,336267.0,1425933.9205689994,0.0726403139641213
Healthy & Digestive,18493111.964999996,294195.0,-312535.12493999995,-0.0169000828812102
Organic & Hydroponic,17896342.676,667450.0,7242136.220711998,0.404671298031419
Baby Food,17791987.753000002,53431.0,1957475.9940460003,0.11002008438972423
Deodorants & Powders,17716221.958999995,104696.0,-129494.22744700006,-0.007309359057855778
Coldpress,17707990.301000003,169675.0,860243.2588690004,0.048579383896569045
Healthy Snacks,17678181.492,295704.0,2821692.8730300013,0.15961443060797384
Pasta,17366757.709,281535.0,1316659.5761500003,0.07581493323118489
Water & Ice Cubes,16556569.099000007,369147.0,4419098.706794999,0.26690908486963677
Cleaning Tools,16454724.877000002,85452.0,3706073.4562870013,0.22522852761076892
Hair Oil & Serum,16292105.872000001,100953.0,470734.341624,0.028893400602865906
Dishwashing Bars,15886271.883000001,308851.0,1072368.8067020008,0.06750286125025654
Batter,15626806.969999997,184257.0,2279188.6608570013,0.1458512071744751
Frozen Veg,15420006.601999998,145108.0,3337271.952545999,0.21642480698504693
Kitchen & Dining Needs,14860575.271999998,72059.0,4532995.562125001,0.30503499892537683
Cakes & Rolls,14741566.12,484180.0,864205.4847010002,0.05862372272159915
Fresheners,14649052.306999998,107436.0,494041.15672900004,0.033725127494624633
Leafies & Herbs,14578528.010000005,1103630.0,7188415.975588999,0.4930824271598732
Soda & Mixers,14463983.213999998,320747.0,2437603.775893,0.16852921770080537
Shower Gels & Scrubs,13943719.079000004,75660.0,-1738479.4650130004,-0.12467831969099583
Laundry Additives,13297923.429000001,73492.0,470738.6453930003,0.03539941013394748
Sexual Wellness,13009398.071999997,90664.0,2288700.1414389997,0.17592667460648675
Sweet & Salty,12757519.806,392102.0,890223.6442499998,0.06978030665735811
Dog Food & Treats,12121380.628999999,40509.0,1057439.2959010005,0.08723752914508041
Instant Mixes,11502917.222999997,162522.0,978969.0425669997,0.08510615382066372
Nachos,11489691.384,236247.0,1015014.6543249999,0.08834133314829162
Cooking Sauces & Paste,11408962.846,212588.0,1311321.3586630002,0.11493782356586
Stationery Needs,11011660.311999999,145562.0,2487228.869487001,0.22587228437990717
Indian Sweets,10867471.605,67311.0,2172082.8729159995,0.19987012176012026
Rusks & Wafers,10691194.129999999,172699.0,692159.3239930002,0.06474106779623132
Freshly Cut & Sprouts,10640881.856999997,268057.0,3833791.2420059987,0.36028886454405823
Men's Grooming,9537315.685999997,54490.0,280852.84093899996,0.029447787006911082
Hair Colour & More,9415266.246,63748.0,1037758.7915020003,0.11022086517658317
Honey,9292596.975,42428.0,339640.9611170001,0.03654962784146787
Flour,9057423.278,82814.0,630143.0935340002,0.06957200455283837
Cat Food & Treats,8984627.503,35861.0,814675.5838009998,0.09067438617004173
Candies & Gum,8967704.842999998,191612.0,1328953.4442649991,0.14819326321855386
Pooja Needs,8908801.219999995,151387.0,2163456.8710089996,0.24284489209974772
Body Moisturizers & More,8780124.136,34449.0,-615650.737371,-0.07011868258749639
Pulses & Millets,8695534.929,83912.0,1189160.8394999998,0.13675534043731974
Peanut Butter,8655855.751000002,42054.0,1059133.0736709998,0.12236029621318947
Dates & Seeds,8448510.200000001,89150.0,1497454.9772750002,0.17724485640971352
Electrical Accessories,8413752.758000001,64403.0,1766910.6013610007,0.21000267682943013
Cream & Whitener,8217621.623999999,75673.0,478913.04102200025,0.05827878952509925
Garbage Bags,7497985.679,93922.0,3378472.4175040005,0.45058400511036784
Chutney & Pickle,7375908.376,85773.0,1258788.4039710003,0.17066215302604518
Popcorn,7235986.466,194996.0,868316.5352510005,0.11999974562293501
Vegan Drinks,7159333.446999998,57261.0,272410.8970909999,0.0380497568813685
Energy Bars,6899925.626999999,109892.0,778504.0632310001,0.11282789196808833
Chocolate Spreads,6858376.365,22689.0,609995.0317660001,0.08894160939883038
Oil & Ghee,6854661.424,18691.0,462570.71819199977,0.06748265006531412
Jams,6731202.9059999995,45675.0,386531.31256100006,0.05742380937832928
Dishwashing Accessories,6622381.068,128493.0,1232920.3982380005,0.18617478903405207
Women's Grooming,6472781.358999999,41944.0,963834.8697699998,0.14890582831595994
Baking Ingredients & Mixes,6358616.282999999,91356.0,1132626.1233990004,0.17812462224322595
Vermicelli,6165314.974,75187.0,875381.5195969999,0.1419848820844688
"Organic Salt, Sugar & Honey",6093239.580999999,96348.0,971266.5799490002,0.1594006877683939
Papad & Fryums,6052552.152000002,103229.0,999250.1332629998,0.16509566678129461
Bath & Hair Care,5881485.730000001,32740.0,899220.7449999999,0.15289006660567034
Disinfectant & More,5524518.004000001,36668.0,780732.6158619998,0.14132139949525263
Other Flours,5389325.505000001,97946.0,1506259.4216379998,0.27948941295910823
Bathroom Essentials,5288308.2749999985,37636.0,2199067.2665630006,0.4158356798068852
Spices & Vinegar,5244078.331999999,85126.0,755373.8571269998,0.14404320631856649
Smoking Needs,4902138.018999999,36078.0,2062538.2814259997,0.42074259709373557
Herbs & Seasoning,4596446.505999999,47998.0,810903.1926659999,0.17641958665405602
Digestive Care,4524953.797,85679.0,808439.540383,0.17866249616051053
Healthcare Devices,4485269.509,18751.0,717616.464178,0.15999405670897893
Rice & Rice Products,4335078.731000001,48453.0,308805.901643,0.07123420837428845
Baby Skin Care,4272315.183,18738.0,537766.3193810001,0.12587234235920372
Ready to Eat & Cook,4264817.4860000005,32559.0,756186.7772570003,0.17730812156424372
Syrups,3965112.3480000007,27176.0,194045.263988,0.04893815028617695
Antiseptic Liquid,3942891.481,21213.0,653833.7620780002,0.16582595925571206
"Dry Fruits, Nuts & Seeds",3928154.2729999996,26005.0,469145.5052029998,0.11943153771420113
Noodles & Pasta,3903795.838000001,30557.0,760884.7747030003,0.19490895689176668
