product_id,revenue,cost,profit,qty,product_name,profit_margin,revenue_crore,profit_crore,qty_crore
391306,27380074.327999998,20411031.762578998,6969042.565421002,1171389.0,Onion,0.254529716827473,2.7380074328,0.6969042565421002,0.1171389
17748,13977615.168,9063993.224799998,4913621.9432,342704.0,Lemon,0.3515350711936269,1.3977615168,0.49136219431999995,0.0342704
352443,22815074.074,17979391.777209,4835682.296790999,396320.0,Tender Coconut,0.21195119862888065,2.2815074074,0.48356822967909996,0.039632
3881,19037786.507,14819835.066414999,4217951.440585,766785.0,Hybrid Tomato,0.22155682011845773,1.9037786506999999,0.42179514405850005,0.0766785
369752,13955136.150999999,9751212.468252001,4203923.682748001,297974.0,Kiran Watermelon,0.30124562292047263,1.3955136150999998,0.4203923682748001,0.0297974
445675,18320434.285000004,14214318.500133,4106115.7848670003,719921.0,Desi Tomato,0.2241276446284308,1.8320434285000005,0.41061157848670005,0.0719921
247758,11379555.217999998,8187951.321759998,3191603.8962399997,91312.0,Safeda Mango,0.2804682463503997,1.1379555218,0.31916038962399995,0.0091312
333785,12685013.494,9590604.341495005,3094409.1525050006,483844.0,Potato (Chipsona),0.24394212540401736,1.2685013494000001,0.30944091525050005,0.0483844
217614,7124122.6790000005,4159471.5714739994,2964651.107526,283033.0,Bottle Gourd,0.41614262430727017,0.7124122679,0.2964651107526,0.0283033
470636,9657447.901999999,6699132.095194997,2958315.806805,375526.0,Banana,0.3063248010059004,0.9657447901999999,0.29583158068050003,0.0375526
423735,5797649.511000001,3039127.270219001,2758522.240781,521772.0,Green Chilli,0.47580010408480167,0.5797649511,0.2758522240781,0.0521772
253317,8214715.93,5474020.596521998,2740695.333478,167825.0,Mushroom - Packet,0.3336323929923162,0.8214715929999999,0.2740695333478,0.0167825
3898,5960986.218,3296398.052912998,2664588.165087,441270.0,Lady Finger,0.4470045840805532,0.5960986218000001,0.2664588165087,0.044127
311059,9063399.225000001,6430212.162791002,2633187.0622090003,53876.0,Royal Gala Apple,0.29052974461786435,0.9063399225000002,0.26331870622090003,0.0053876
388639,30187228.342,27681254.042270005,2505974.2997300006,97533.0,Chakki Atta (10 kg),0.08301438844729565,3.0187228342,0.25059742997300005,0.0097533
428612,7213388.932999999,4710272.624939,2503116.3080610004,54585.0,Shimla Apple,0.34700975246318394,0.7213388932999999,0.2503116308061,0.0054585
3888,5493933.762000001,3032717.151431001,2461216.610569,281917.0,Green Capsicum,0.4479880386604849,0.5493933762000001,0.24612166105689998,0.0281917
10088,8107239.023000002,5696831.169112999,2410407.8538869997,461428.0,Cucumber,0.29731550371818843,0.8107239023000002,0.24104078538869997,0.0461428
15907,35883584.582,33581179.80504999,2302404.77695,194562.0,Fortune Premium Kachi Ghani Pure Mustard Oil,0.06416317666616107,3.5883584582,0.23024047769499997,0.0194562
3889,4561652.686000001,2290938.8828620007,2270713.8031379995,509505.0,Coriander Bunch,0.4977831412082211,0.45616526860000006,0.22707138031379995,0.0509505
421703,5501854.098000001,3257247.3611210007,2244606.7368790004,270800.0,Ginger,0.40797278461,0.5501854098000001,0.22446067368790004,0.02708
52,44626736.16600001,42387109.22698001,2239626.9390200004,250055.0,Fortune Soya Health Refined Soyabean Oil,0.0501857660100699,4.462673616600001,0.22396269390200005,0.0250055
365455,6821938.757000002,4696798.870467999,2125139.8865320007,175929.0,Muskmelon,0.3115155327877125,0.6821938757000002,0.21251398865320006,0.0175929
4916,5944292.808000001,3933572.226721002,2010720.5812790005,211745.0,French Beans,0.33826068907186313,0.5944292808000001,0.20107205812790005,0.0211745
445396,5244729.111000001,3265454.502824,1979274.6081760006,102444.0,Cauliflower,0.37738357239934106,0.5244729111000002,0.19792746081760007,0.0102444
389689,4919301.011999998,2960799.927922,1958501.0840780013,45660.0,GMC Green Cardamom Whole/Elaichi,0.3981258880683437,0.4919301011999998,0.19585010840780012,0.004566
39493,12210905.6,10389155.625192,1821749.974807999,87051.0,Tata Sampann Unpolished Arhar Dal/Toor Dal,0.14919040687760285,1.22109056,0.1821749974807999,0.0087051
300635,4014841.300999999,2229952.99588,1784888.30512,32025.0,Red & Yellow Capsicum,0.4445725674575052,0.4014841300999999,0.17848883051199999,0.0032025
23343,4343919.471999999,2560554.550433,1783364.9215670007,181202.0,English Cucumber,0.41054281348036026,0.4343919471999999,0.17833649215670005,0.0181202
95031,4316755.713,2598819.059856,1717936.6531439999,182793.0,Garlic,0.3979693935356123,0.43167557130000006,0.1717936653144,0.0182793
448096,6754890.143999998,5088850.738039001,1666039.4059609997,139968.0,Harvest Gold 100% Atta / Wheat Bread,0.24664196906900876,0.6754890143999999,0.16660394059609995,0.0139968
32991,4610085.009000001,2946563.28696,1663521.7220400001,22665.0,Gainda Phenyl (White),0.3608440449129254,0.46100850090000006,0.166352172204,0.0022665
394525,5591401.697000001,3941790.570157001,1649611.1268430003,67228.0,Kiwi,0.29502640236491673,0.5591401697,0.16496111268430003,0.0067228
389714,10990982.718,9384463.548380004,1606519.16962,26156.0,GMC Cashews,0.14616701807646315,1.0990982718,0.160651916962,0.0026156
34353,5914745.927999999,4370971.228609001,1543774.699391,84935.0,Bisleri Packaged Water,0.26100439785297913,0.5914745927999999,0.1543774699391,0.0084935
389703,5094292.586999999,3576249.609315001,1518042.9776850007,53140.0,GMC Plain Makhana/Foxnuts,0.2979889654471079,0.5094292586999999,0.15180429776850007,0.005314
277,10641936.227000002,9175655.071463998,1466281.1555360006,67248.0,Hamdard Rooh Afza Rose Sharbat,0.1377833059942467,1.0641936227000002,0.14662811555360006,0.0067248
