l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Milk,140576951.69399995,134135147.90738602,6441803.786614001,4663730.0,0.0458240394957216,14.057695169399995,0.6441803786614001,0.466373
Eggs,49096440.59599999,42730917.00737201,6365523.588627999,451182.0,0.12965346390399254,4.9096440596,0.6365523588627998,0.0451182
Paneer & Tofu,56122673.110000014,49821415.54543297,6301257.564567,705116.0,0.11227650458160791,5.612267311000002,0.6301257564567,0.0705116
Floor Cleaners & More,36842428.965,30886857.785049994,5955571.179950002,239217.0,0.16164979745520427,3.6842428965000003,0.5955571179950002,0.0239217
Namkeen Snacks,25237673.827999994,20507300.058622,4730373.769377998,431878.0,0.1874330337104949,2.5237673827999996,0.4730373769377998,0.0431878
"Poha, Daliya & Other Grains",21432924.760000005,16760408.326582998,4672516.433417003,518014.0,0.21800647768508294,2.1432924760000005,0.4672516433417003,0.0518014
Breakfast Cereal,54378212.586,49712102.23182902,4666110.354171001,302914.0,0.0858084540162381,5.4378212586000005,0.46661103541710014,0.0302914
Chocolates,39451113.429000005,34867875.55087798,4583237.878121996,752302.0,0.11617512104874883,3.9451113429000007,0.4583237878121996,0.0752302
Kitchen & Dining Needs,14860575.271999998,10327579.709874999,4532995.562125001,72059.0,0.30503499892537683,1.4860575271999998,0.4532995562125001,0.0072059
Water & Ice Cubes,16556569.099000007,12137470.392205002,4419098.706794999,369147.0,0.26690908486963677,1.6556569099000007,0.4419098706794999,0.0369147
Frozen Non-Veg Snacks,23197356.480999995,18859985.027004007,4337371.453996,106813.0,0.18697697117120063,2.3197356480999995,0.4337371453996,0.0106813
Tea,101734676.438,97448961.97584204,4285714.462158002,560066.0,0.042126388093147754,10.173467643799999,0.4285714462158002,0.0560066
Freshly Cut & Sprouts,10640881.856999997,6807090.614994001,3833791.2420059987,268057.0,0.36028886454405823,1.0640881856999997,0.3833791242005999,0.0268057
Cleaning Tools,16454724.877000002,12748651.420713002,3706073.4562870013,85452.0,0.22522852761076892,1.6454724877000002,0.3706073456287001,0.0085452
Frozen Veg Snacks,25371227.782000005,21887746.438874,3483481.3431260004,192769.0,0.13730046385841083,2.5371227782000005,0.34834813431260003,0.0192769
Garbage Bags,7497985.679,4119513.2614960014,3378472.4175040005,93922.0,0.45058400511036784,0.7497985679,0.33784724175040004,0.0093922
Chicken,21664103.349999998,18296856.970076006,3367246.3799239993,121597.0,0.15542975979774393,2.1664103349999997,0.33672463799239993,0.0121597
Frozen Veg,15420006.601999998,12082734.649454,3337271.952545999,145108.0,0.21642480698504693,1.5420006601999998,0.33372719525459993,0.0145108
Feminine Care,48229834.632,45015842.96003599,3213991.671964001,256829.0,0.06663907717053524,4.8229834632,0.3213991671964001,0.0256829
Butter & More,48567068.736,45484760.123678006,3082308.612321999,481200.0,0.0634649916608465,4.8567068736,0.3082308612321999,0.04812
