brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
MTR,11156099.336000001,10030359.233103998,1125740.1028960007,105719.0,0.1009080386424412,1.1156099336,0.11257401028960007,0.0105719
Tata,12540868.006999996,11449386.857187994,1091481.1498119999,379847.0,0.08703393969243299,1.2540868006999994,0.10914811498119999,0.0379847
G Fresh,6074950.446000001,5000675.777346001,1074274.6686540004,96281.0,0.17683677886810537,0.6074950446000001,0.10742746686540004,0.0096281
Crax,7961728.407000001,6898809.895195999,1062918.511804,296386.0,0.13350348786947763,0.7961728407,0.10629185118040001,0.0296386
Batter Chatter,3813426.885,2759747.3983699977,1053679.4866299997,127890.0,0.27630777209197754,0.38134268849999997,0.10536794866299998,0.012789
24 Mantra,11221003.577000001,10187137.620994002,1033865.956006,128507.0,0.09213667466652835,1.1221003577000002,0.10338659560060001,0.0128507
Chheda's,3370940.1410000008,2346078.6804700014,1024861.4605299992,47325.0,0.3040283771476199,0.33709401410000006,0.10248614605299992,0.0047325
EverFresh,2586590.727,1565389.1078989997,1021201.6191010004,12878.0,0.3948060311363671,0.2586590727,0.10212016191010004,0.0012878
Shasha,2807471.365,1801995.063399,1005476.3016010004,55143.0,0.3581430301074505,0.28074713650000005,0.10054763016010003,0.0055143
Tops,4794811.017999999,3809933.354404,984877.6635960004,73352.0,0.20540489706449586,0.4794811017999999,0.09848776635960003,0.0073352
Mamaearth,4862825.610000001,3878201.262655,984624.3473449999,19936.0,0.20247988028199096,0.4862825610000001,0.09846243473449999,0.0019936
Marlboro,10282043.901999999,9305666.235570002,976377.6664299999,41936.0,0.09495949207531404,1.0282043902,0.09763776664299999,0.0041936
Ching's Secret,4694523.486,3720778.1825429983,973745.3034569996,73362.0,0.20742154264663948,0.46945234859999996,0.09737453034569996,0.0073362
Wills Classic,12307753.877999999,11353753.925899997,953999.9521,37399.0,0.07751210834702069,1.2307753877999998,0.09539999521,0.0037399
Bonn,3789711.6449999996,2845168.0731099993,944543.5718899999,98024.0,0.24923890268437562,0.37897116449999996,0.09445435718899999,0.0098024
Cadbury Dairy Milk Silk,7952929.711000002,7022328.970160999,930600.7408389996,68079.0,0.117013575456583,0.7952929711000002,0.09306007408389996,0.0068079
Valencia,3208898.8510000003,2293241.4950140016,915657.355986,35355.0,0.28534939819017685,0.32088988510000005,0.0915657355986,0.0035355
Brooke Bond Red Label,15455189.454000004,14540524.036035998,914665.417964,101768.0,0.05918176679013616,1.5455189454000005,0.0914665417964,0.0101768
Yakult,6128756.433999999,5217606.19613,911150.23787,74032.0,0.14866804508909615,0.6128756433999999,0.091115023787,0.0074032
Paper Boat,5347825.77,4442091.270189,905734.4998110003,124053.0,0.1693649978075109,0.534782577,0.09057344998110003,0.0124053
Picfest,2369170.2079999996,1465788.110977,903382.0970229998,11384.0,0.38130738516487367,0.23691702079999996,0.09033820970229997,0.0011384
Pedigree,10876028.292,9981001.48586,895026.80614,38139.0,0.08229353419375972,1.0876028292,0.089502680614,0.0038139
Keya,4715237.500999999,3822688.788328001,892548.7126719996,52155.0,0.1892902982050659,0.4715237500999999,0.08925487126719996,0.0052155
Organic India,4964401.975000001,4085212.304627999,879189.6703719998,24922.0,0.17709880763070154,0.49644019750000007,0.08791896703719998,0.0024922
Chemi Eco Kleen,1995259.588,1128984.8821220002,866274.7058779994,12300.0,0.4341664167850622,0.1995259588,0.08662747058779995,0.00123
Cadbury Dairy Milk,12387385.622999998,11521658.554089999,865727.0689099998,211395.0,0.06988779515369092,1.2387385622999998,0.08657270689099998,0.0211395
Uncle Chipps,6260217.042,5402283.117995,857933.9240050004,245841.0,0.13704539606999144,0.6260217042,0.08579339240050003,0.0245841
Aravi,1914599.3789999997,1061235.2904720001,853364.0885279996,15066.0,0.44571417806147723,0.19145993789999996,0.08533640885279996,0.0015066
