brand_name,revenue,total_qty,profit,profit_margin
McCain,16238060.901999997,114047.0,2168307.430123001,0.13353241148738001
Hit,16193718.314999998,60632.0,-344067.7168150001,-0.021246986647674077
Thums Up,15856456.873,321767.0,1678626.6878999998,0.10586392037923212
Brooke Bond Red Label,15455189.454000004,101768.0,914665.417964,0.05918176679013616
Lizol,15409730.608000001,71085.0,564044.0409430002,0.036603108470317794
Dove,15307944.324,55791.0,-1873726.7168309996,-0.12240224272917859
Aashirvaad Select,15075499.178,60460.0,244408.9402740001,0.01621232818815521
Del Monte,14238884.309,63784.0,1603163.9906750005,0.11259056228595701
English Oven,13917215.411,326768.0,3428634.3970009997,0.24635922458245837
Dhara,13813091.407000002,69129.0,837791.8415199999,0.060652016035703325
Milky Mist,12717367.698,190293.0,1720346.2508720001,0.13527534091371368
Tata,12540868.006999996,379847.0,1091481.1498119999,0.08703393969243299
Cadbury Bournvita,12494813.106999999,43820.0,361299.7255030001,0.02891597676643825
Cadbury Dairy Milk,12387385.622999998,211395.0,865727.0689099998,0.06988779515369092
Wills Classic,12307753.877999999,37399.0,953999.9521,0.07751210834702069
Pears,12251950.826999998,63213.0,-798414.277852,-0.06516629793293897
Country Delight,12232339.244999995,194165.0,2200368.1276069996,0.17988122169734677
Britannia NutriChoice,12035945.004999999,215586.0,-262093.3942149999,-0.02177588831671468
Organic Tattva,11988358.127,152346.0,1669587.7736739998,0.13926742561300193
MamyPoko Pants,11902307.648999998,20592.0,-385816.20382999984,-0.0324152437668182
ChefiGo,11763777.835,65387.0,1844345.1327049986,0.15678170385177106
Gala,11578682.683999998,64848.0,2194903.8184909993,0.1895642085022355
Dalmia Utsav,11578346.765999999,97673.0,836857.7675480003,0.07227782899070243
Dabur,11438222.316,58379.0,-577749.2551959998,-0.05051040618329592
24 Mantra,11221003.577000001,128507.0,1033865.956006,0.09213667466652835
MTR,11156099.336000001,105719.0,1125740.1028960007,0.1009080386424412
Hamdard,11033345.228,71571.0,1570288.258497001,0.14232204522269307
Pedigree,10876028.292,38139.0,895026.80614,0.08229353419375972
MDH,10702636.182,125039.0,2332044.1400010013,0.21789436736372483
Marlboro,10282043.901999999,41936.0,976377.6664299999,0.09495949207531404
Brooke Bond Taj Mahal,10177331.463999998,53429.0,580488.0111759999,0.05703734944954329
Bikano,9985248.046000004,99044.0,2146809.8438049997,0.21499814866041225
Hershey's,9926973.616999999,131789.0,406047.8029070003,0.04090348363691036
Hen Fruit,9855175.887000002,89366.0,1633730.378288,0.16577384280305535
Bagrry's,9808282.364000002,43541.0,1498746.4683489997,0.1528041723033943
Durex,9731666.009999998,60124.0,1956834.6800140005,0.20107910382489594
Bambino,9605376.747000001,102778.0,1717495.5318749996,0.17880563949887923
Parle-G,9522253.71,133738.0,749990.875111,0.0787619084674651
Nivea,9250812.083999999,47002.0,-206303.909541,-0.022301167472401552
Red Bull,9237759.208,53873.0,1284038.2522579997,0.1389988874299742
Borges,9235730.851000002,19380.0,1259823.0543400007,0.13640751064152037
Limca,9224373.923,184878.0,831729.7166569997,0.09016652225937737
Himalaya,9221462.627,53639.0,1411026.341914,0.15301545958474988
Haldiram's Nagpur,9178935.324000001,116401.0,1334622.5792730001,0.14540058646925924
Sunfeast Yippee,9093353.263,116713.0,-1592474.334953,-0.17512509289973682
Scotch Brite,9078713.591,99330.0,1545935.3263250005,0.17028131913507355
epigamia,9077629.601,203601.0,1222133.1128640003,0.1346313042701554
GHH,8874242.092999998,107156.0,3249483.544517999,0.36617026112925083
Oleev,8738321.645,13684.0,633246.45437,0.07246774381809792
Dr. Oetker,8699241.389,66050.0,1263340.24815,0.14522418584078678
Gopaljee Ananda,8666851.0,17405.0,671249.6712800002,0.07745023784071058
Colgate,8627358.943000002,70064.0,244829.5413600001,0.02837827230529778
Maaza,8554157.946,293015.0,817007.135626,0.09550994274170957
B Natural,8547932.353999998,88269.0,-2696467.4914249997,-0.31545260067052233
Pepsi,8506411.182,148315.0,395959.7365830002,0.04654838898698798
SPT,8197721.7409999985,88624.0,2125450.5450169994,0.259273321560403
Whiskas,8178754.362,29154.0,719689.8125850002,0.08799503943153149
Gainda,8173191.709000001,57633.0,2866220.5412429986,0.3506855881144728
Sundrop,8018488.710999997,29313.0,579814.3975349999,0.07230968558197176
Sunpure,7988821.962,39311.0,629563.0070619998,0.0788054872240999
Gillette,7986755.596,45442.0,445225.175069,0.055745436268512055
ITC Master Chef,7984901.799999999,50291.0,1433496.348449,0.17952585822019754
Sunfeast Dark Fantasy,7973042.5600000005,93394.0,760851.2101210002,0.09542796296336341
Crax,7961728.407000001,296386.0,1062918.511804,0.13350348786947763
Cadbury Dairy Milk Silk,7952929.711000002,68079.0,930600.7408389996,0.117013575456583
Rin,7859854.931,98497.0,584209.450339,0.07432827392714635
Veeba,7801741.650000002,66133.0,1183124.4961599999,0.15164876629310067
Stayfree,7632044.335999998,45636.0,292658.2324190001,0.03834598169700677
Raw Pressery,7600611.933,61820.0,281514.156132,0.037038354097481845
Emami Healthy & Tasty,7459487.0,41497.0,612199.3885700001,0.08206990488353959
Sumeru,7402920.631,44331.0,1360718.364113999,0.1838083145746479
Comfort,7383817.513999999,27083.0,89719.91226499996,0.012150884294592547
Tropicana,7147739.976000001,76473.0,521398.23643099976,0.07294588753671805
L'Oreal Paris,7104129.546,26679.0,-442208.94315,-0.06224674540162165
Wagh Bakri,7081527.662999998,33140.0,773540.099529,0.1092335067150327
Origami So Soft,7069082.620999999,42638.0,2758191.4509030003,0.39017671723192054
Sprite,7031582.217999999,136840.0,808211.0110180003,0.11494013523003087
RiteBite,7009314.047000001,141804.0,645609.4987419995,0.09210737233528886
Kurkure,6988920.343999998,293232.0,715442.3873230001,0.10236808435471852
Tresemme,6818772.100999999,26488.0,-420890.59871699987,-0.061725277290800594
Wingreens Farms,6703602.462,82370.0,-842229.4119589997,-0.12563832905266328
Tang,6584717.215999999,42788.0,186476.64770700008,0.028319613673596537
Good Knight,6507858.4860000005,44803.0,75663.89164400005,0.01162654224992317
Nestle,6494014.953,102978.0,364047.103839,0.05605886442728676
Britannia Good Day,6469370.466,121580.0,330459.3403719999,0.051080602372169034
Mahakosh,6428225.0,37125.0,364022.69881999993,0.056628804813148255
All Out,6415022.861000001,33111.0,-451744.1186749999,-0.07041972078094513
Head & Shoulders,6322519.918,16064.0,-2801787.459889998,-0.44314410966320633
Cornitos,6298135.123999999,106563.0,744076.8045719998,0.11814240087301117
Britannia Bourbon,6295691.789999999,84348.0,777561.3669899998,0.12350689851511931
Parle,6280674.131999999,102899.0,55691.15811800001,0.00886706696567075
Nestle a+,6262767.341,99340.0,630083.5484749997,0.10060784860233876
Uncle Chipps,6260217.042,245841.0,857933.9240050004,0.13704539606999144
Mawana,6200694.835000001,40937.0,584545.8049819999,0.09427101648068766
Fiama,6186768.276000002,26639.0,-144058.37743399994,-0.023284915646968364
Aashirvaad Svasti,6170531.073999999,14221.0,-228705.68442799977,-0.037064181621525014
Yakult,6128756.433999999,74032.0,911150.23787,0.14866804508909615
Safal,6108492.047,51583.0,584776.2406100002,0.09573168567800547
