city_name,revenue,total_qty,num_rows,profit,avg_order_value_approx
Delhi,2272486557.0109997,28075593.0,21449858,244327815.11264497,105.94413058636565
HR-NCR,1134201360.13,15339245.0,11866528,151952686.75658202,95.57988319161258
Bengaluru,860249073.4990003,11747370.0,9511508,107478269.80967394,90.4429742895659
Mumbai,429580511.022,5013888.0,3878493,45916620.020715006,110.75964582687142
